,Parent Org,Org name,A&E attendances Type 1,Total Admissions,Type 1 Proportion attendances over 4hrs,Proportion waiting over 4hrs for admission,Proportion waiting over 12hrs for admission
192,NHS ENGLAND NORTH WEST ,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,10211,4659,0.6021937126628146,0.09122129212277312,0.003648851684910925
193,NHS ENGLAND SOUTH EAST ,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,12265,3817,0.5215654300856094,0.3887870055017029,0.013099292638197537
194,NHS ENGLAND MIDLANDS ,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,3878,2631,0.6905621454357916,0.4393766628658305,0.055112124667426834
196,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,14240,3104,0.5374297752808989,0.7628865979381443,0.1208118556701031
197,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE HOSPITALS NHS TRUST,17459,3970,0.0,0.5856423173803527,0.01057934508816121
198,NHS ENGLAND EAST OF ENGLAND ,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10287,2583,0.5041314280159425,0.5849787069299265,0.16260162601626016
200,NHS ENGLAND MIDLANDS ,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,16655,4022,0.0,0.42441571357533564,0.19865738438587768
201,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,10342,5795,0.23515760974666408,0.013977566867989646,0.004141501294219155
202,NHS ENGLAND SOUTH WEST ,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4167,1334,0.5075593952483801,0.19715142428785606,0.037481259370314844
203,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,12077,3543,0.5369711020948911,0.35930002822466833,0.037821055602596666
